Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2017-01-01,Neujahr,New Year's Day,DE,False,True,,Public,
2017-01-06,Heilige Drei Könige,Epiphany,DE,False,False,,Public,"DE-BW,DE-BY,DE-ST"
2017-04-14,Karfreitag,Good Friday,DE,False,True,,Public,
2017-04-16,Ostersonntag,Easter Sunday,DE,False,False,,Public,DE-BB
2017-04-17,Ostermontag,Easter Monday,DE,False,True,,Public,
2017-05-01,Tag der Arbeit,Labour Day,DE,False,True,,Public,
2017-05-25,Christi Himmelfahrt,Ascension Day,DE,False,True,,Public,
2017-06-04,Pfingstsonntag,Pentecost,DE,False,False,,Public,"DE-BB,DE-HE"
2017-06-05,Pfingstmontag,Whit Monday,DE,False,True,,Public,
2017-06-15,Fronleichnam,Corpus Christi,DE,False,False,,Public,"DE-BW,DE-BY,DE-HE,DE-NW,DE-RP,DE-SL"
2017-08-15,Mariä Himmelfahrt,Assumption Day,DE,False,False,,Public,DE-SL
2017-10-03,Tag der Deutschen Einheit,German Unity Day,DE,False,True,,Public,
2017-10-31,Reformationstag,Reformation Day,DE,False,True,,Public,
2017-11-01,Allerheiligen,All Saints' Day,DE,False,False,,Public,"DE-BW,DE-BY,DE-NW,DE-RP,DE-SL"
2017-11-22,Buß- und Bettag,Repentance and Prayer Day,DE,False,False,,Public,DE-SN
2017-12-25,Erster Weihnachtstag,Christmas Day,DE,False,True,,Public,
2017-12-26,Zweiter Weihnachtstag,St. Stephen's Day,DE,False,True,,Public,
