Datum,Weihnachtsmarkt
2013-11-25,1
2013-11-26,1
2013-11-27,1
2013-11-28,1
2013-11-29,1
2013-11-30,1
2013-12-01,1
2013-12-02,1
2013-12-03,1
2013-12-04,1
2013-12-05,1
2013-12-06,1
2013-12-07,1
2013-12-08,1
2013-12-09,1
2013-12-10,1
2013-12-11,1
2013-12-12,1
2013-12-13,1
2013-12-14,1
2013-12-15,1
2013-12-16,1
2013-12-17,1
2013-12-18,1
2013-12-19,1
2013-12-20,1
2013-12-21,1
2013-12-22,1
2013-12-23,1
2014-11-24,1
2014-11-25,1
2014-11-26,1
2014-11-27,1
2014-11-28,1
2014-11-29,1
2014-11-30,1
2014-12-01,1
2014-12-02,1
2014-12-03,1
2014-12-04,1
2014-12-05,1
2014-12-06,1
2014-12-07,1
2014-12-08,1
2014-12-09,1
2014-12-10,1
2014-12-11,1
2014-12-12,1
2014-12-13,1
2014-12-14,1
2014-12-15,1
2014-12-16,1
2014-12-17,1
2014-12-18,1
2014-12-19,1
2014-12-20,1
2014-12-21,1
2014-12-22,1
2014-12-23,1
2015-11-23,1
2015-11-24,1
2015-11-25,1
2015-11-26,1
2015-11-27,1
2015-11-28,1
2015-11-29,1
2015-11-30,1
2015-12-01,1
2015-12-02,1
2015-12-03,1
2015-12-04,1
2015-12-05,1
2015-12-06,1
2015-12-07,1
2015-12-08,1
2015-12-09,1
2015-12-10,1
2015-12-11,1
2015-12-12,1
2015-12-13,1
2015-12-14,1
2015-12-15,1
2015-12-16,1
2015-12-17,1
2015-12-18,1
2015-12-19,1
2015-12-20,1
2015-12-21,1
2015-12-22,1
2015-12-23,1
2015-12-24,1
2015-12-25,1
2015-12-26,1
2015-12-27,1
2015-12-28,1
2015-12-29,1
2015-12-30,1
2015-12-31,1
2016-11-28,1
2016-11-29,1
2016-11-30,1
2016-12-01,1
2016-12-02,1
2016-12-03,1
2016-12-04,1
2016-12-05,1
2016-12-06,1
2016-12-07,1
2016-12-08,1
2016-12-09,1
2016-12-10,1
2016-12-12,1
2016-12-13,1
2016-12-14,1
2016-12-15,1
2016-12-16,1
2016-12-17,1
2016-12-18,1
2016-12-19,1
2016-12-20,1
2016-12-21,1
2016-12-22,1
2016-12-23,1
2017-11-27,1
2017-11-28,1
2017-11-29,1
2017-11-30,1
2017-12-01,1
2017-12-02,1
2017-12-03,1
2017-12-04,1
2017-12-05,1
2017-12-06,1
2017-12-07,1
2017-12-08,1
2017-12-09,1
2017-12-10,1
2017-12-11,1
2017-12-12,1
2017-12-13,1
2017-12-14,1
2017-12-15,1
2017-12-16,1
2017-12-17,1
2017-12-18,1
2017-12-19,1
2017-12-20,1
2017-12-21,1
2017-12-22,1
2017-12-23,1
2018-11-26,1
2018-11-27,1
2018-11-28,1
2018-11-29,1
2018-11-30,1
2018-12-01,1
2018-12-02,1
2018-12-03,1
2018-12-04,1
2018-12-05,1
2018-12-06,1
2018-12-07,1
2018-12-08,1
2018-12-09,1
2018-12-10,1
2018-12-11,1
2018-12-12,1
2018-12-13,1
2018-12-14,1
2018-12-15,1
2018-12-16,1
2018-12-17,1
2018-12-18,1
2018-12-19,1
2018-12-20,1
2018-12-21,1
2018-12-22,1
2018-12-23,1
