Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
2018-08-01,0,23.7625,10,0
2018-08-02,0,26.1875,10,0
2018-08-03,1,27.6625,10,0
2018-08-04,4,25.1375,12,
2018-08-05,7,21.3,14,61
2018-08-06,0,23.1,5,0
2018-08-07,0,32.671428,7,
2018-08-08,4,28.15,10,
2018-08-09,5,24.575,13,21
2018-08-10,5,17.325,16,61
2018-08-11,6,15.5,13,61
2018-08-12,7,18.375,9,61
2018-08-13,7,21.9125,8,61
2018-08-14,5,21.8,16,61
2018-08-15,6,21.9875,13,21
2018-08-16,3,25.075,9,0
2018-08-17,7,19.55,9,61
2018-08-18,4,21.75,10,
2018-08-19,7,21.3875,10,
2018-08-20,6,19.6,13,21
2018-08-21,4,19.7875,8,
2018-08-22,0,26.6375,8,
2018-08-23,5,22.575,11,5
2018-08-24,5,17.1,15,61
2018-08-25,7,12.9,6,63
2018-08-26,3,16.9875,12,21
2018-08-27,6,16.5375,13,63
2018-08-28,6,18.6125,9,61
2018-08-29,0,22.7,12,0
2018-08-30,7,15.4625,13,63
2018-08-31,4,18.725,11,0
2018-09-01,2,18.1125,8,
2018-09-02,1,18.95,11,5
2018-09-03,2,21.0125,13,21
2018-09-04,1,20.525,11,5
2018-09-05,2,20.2875,11,0
2018-09-06,0,21.275,11,0
2018-09-07,7,17.475,12,61
2018-09-10,5,19.2375,12,
2018-09-11,7,16.55,12,61
2018-09-12,7,14.3,11,61
2018-09-13,4,17.3375,7,0
2018-09-14,3,17.1125,9,
2018-09-21,6,14.957142,16,61
2018-09-22,4,13.025,20,61
2018-09-23,6,11.65,6,61
2018-09-24,2,11.2875,17,21
2018-09-25,3,12.7625,9,0
2018-09-26,7,14.2375,16,61
2018-09-27,7,17.6,13,0
2018-09-28,1,12.8625,15,21
2018-09-29,6,13.1,10,61
2018-09-30,5,13.9625,12,21
2018-10-01,5,11.1625,12,21
2018-10-02,6,10,18,61
2018-10-03,4,12.2875,18,21
2018-10-04,7,14.2625,8,61
2018-10-05,0,18.1125,8,5
2018-10-06,1,14.3375,6,10
2018-10-07,1,11.4,10,5
2018-10-08,5,13.0625,10,
2018-10-09,3,15.125,9,0
2018-10-10,0,17.1,6,10
2018-10-11,0,19.633333,7,0
2018-10-12,0,21.4125,7,
2018-10-15,0,20.7875,6,0
2018-10-16,7,19.0625,6,10
2018-10-17,2,20.8375,5,5
2018-10-18,1,12.816666,12,5
2018-10-19,3,10.925,6,5
2018-10-22,2,11.1,14,0
2018-10-23,7,11.925,23,63
2018-10-24,4,10.357142,11,0
2018-10-25,6,11.125,19,21
2018-10-26,7,10.325,9,63
2018-10-27,7,5.8375,13,63
2018-10-28,2,5.5875,14,0
2018-10-29,7,7.3625,17,21
2018-10-30,7,10.6375,11,20
2018-10-31,5,9.9,10,0
2018-11-01,5,11.725,8,0
2018-11-02,6,10.675,12,61
2018-11-03,0,8.7,5,10
2018-11-04,8,8.225,5,10
2018-11-05,8,10.4125,6,10
2018-11-06,7,8.5375,5,45
2018-11-07,1,11.0875,4,28
2018-11-08,6,11.625,7,20
2018-11-09,7,9.3,6,61
2018-11-10,7,11.425,8,61
2018-11-11,7,12.2375,8,61
2018-11-12,7,10.5375,4,61
2018-11-13,7,10.325,9,61
2018-11-14,7,8.4375,7,10
2018-11-15,2,10.35,6,5
2018-11-16,0,8.2625,7,10
2018-11-17,0,5.375,10,10
2018-11-18,7,6.75,14,0
2018-11-19,6,5.775,21,61
2018-11-20,7,4.725,16,
2018-11-21,7,3.05,12,0
2018-11-22,8,1.5125,9,21
2018-11-23,8,1.8875,6,10
2018-11-24,8,3.025,4,10
